hash,diff,message,project,split,diff_languages
5559e14bb3c81d5046dac11f21d57e7de28272eb,"diff --git a/pymatgen/phasediagram/analyzer.py b/pymatgen/phasediagram/analyzer.py
index <HASH>..<HASH> 100644
--- a/pymatgen/phasediagram/analyzer.py
+++ b/pymatgen/phasediagram/analyzer.py
@@ -68,7 +68,7 @@ class PDAnalyzer(object):
         if set(comp.elements).difference(self._pd.elements):
             raise ValueError('{} has elements not in the phase diagram {}'
                              ''.format(comp, self._pd.elements))
-        c = [comp.get_atomic_fraction(e) for e in self._pd.elements[1:]]
+        c = self._pd.pd_coords(comp)
         for f, s in zip(self._pd.facets, self._pd.simplexes):
             if s.in_simplex(c, PDAnalyzer.numerical_tol / 10):
                 return f, s
@@ -245,8 +245,8 @@ class PDAnalyzer(object):
 
         # the reduced dimensionality Simplexes don't use the
         # first element in the PD
-        c1 = np.array([comp1.get_atomic_fraction(e) for e in pd_els[1:]])
-        c2 = np.array([comp2.get_atomic_fraction(e) for e in pd_els[1:]])
+        c1 = self._pd.pd_coords(comp1)
+        c2 = self._pd.pd_coords(comp2)
 
         intersections = [c1, c2]
         for sc in self._pd.simplexes:",refactoring to use PhaseDiagram.pd_coords,materialsproject_pymatgen,train,py
221aab3352ebef9b7f3d215b8adafcb44db1c3ff,"diff --git a/lib/core/topologies/replset.js b/lib/core/topologies/replset.js
index <HASH>..<HASH> 100644
--- a/lib/core/topologies/replset.js
+++ b/lib/core/topologies/replset.js
@@ -300,15 +300,11 @@ function connectNewServers(self, servers, callback) {
 
       // Destroyed
       if (self.state === DESTROYED || self.state === UNREFERENCED) {
-        return this.destroy({ force: true });
+        this.destroy({ force: true });
+        return done();
       }
 
       if (event === 'connect') {
-        // Destroyed
-        if (self.state === DESTROYED || self.state === UNREFERENCED) {
-          return _self.destroy({ force: true });
-        }
-
         // Update the state
         var result = self.s.replicaSetState.update(_self);
         // Update the state with the new server
@@ -363,8 +359,7 @@ function connectNewServers(self, servers, callback) {
         connectingServer.destroy({ force: true });
 
         self.s.connectingServers.splice(existingServerIdx, 1);
-        done();
-        return;
+        return done();
       }
 
       // Create a new server instance",refactor(replset): reduce server count when destroyed,mongodb_node-mongodb-native,train,js
a6ff929e2293c0b291f07dfaac71d56977f55b89,"diff --git a/system/src/Grav/Console/Gpm/IndexCommand.php b/system/src/Grav/Console/Gpm/IndexCommand.php
index <HASH>..<HASH> 100644
--- a/system/src/Grav/Console/Gpm/IndexCommand.php
+++ b/system/src/Grav/Console/Gpm/IndexCommand.php
@@ -111,6 +111,16 @@ class IndexCommand extends ConsoleCommand
         $climate = new CLImate;
         $climate->extend('Grav\Console\TerminalObjects\Table');
 
+        if (!$data) {
+            $this->output->writeln('No data was found in the GPM repository stored locally.');
+            $this->output->writeln('Please try clearing cache and running the <green>bin/gpm index -f</green> command again');
+            $this->output->writeln('If this doesn\'t work try tweaking your GPM system settings.');
+            $this->output->writeln('');
+            $this->output->writeln('For more help go to: https://learn.getgrav.org/troubleshooting');
+
+            die;
+        }
+
         foreach ($data as $type => $packages) {
             $this->output->writeln(""<green>"" . strtoupper($type) . ""</green> [ "" . count($packages) . "" ]"");
             $packages = $this->sort($packages);","If there is no repository data, display a nicer message with details on how to proceed to potentially fix it",getgrav_grav,train,php
c088700e2d4a2f5e509ec9067523f261cd6ccb88,"diff --git a/lib/bibreformat.py b/lib/bibreformat.py
index <HASH>..<HASH> 100644
--- a/lib/bibreformat.py
+++ b/lib/bibreformat.py
@@ -126,7 +126,7 @@ def bibreformat_task(fmt, sql, sql_queries, cds_query, process_format, process, 
         write_message(""Querying database (%s) ..."" % sql_query, verbose=2)
         recIDs |= intbitset(run_sql(sql_query))
 
-    if fmt == ""HDREF"":
+    if fmt == ""HDREF"" and recIDs:
         # HDREF represents the references tab
         # the tab needs to be recomputed not only when the record changes
         # but also when one of the citations changes","BibFormat: HDREF processing bug fix

* Fixes bug that would occur with empty records when processing HDREF.
  (closes #<I>)",inveniosoftware_invenio-formatter,train,py
244c43c3ecb66a8a8534414bbc7f15b4f049ed22,"diff --git a/src/lib/Supra/Controller/Pages/Twig/TwigSupraBlockGlobal.php b/src/lib/Supra/Controller/Pages/Twig/TwigSupraBlockGlobal.php
index <HASH>..<HASH> 100644
--- a/src/lib/Supra/Controller/Pages/Twig/TwigSupraBlockGlobal.php
+++ b/src/lib/Supra/Controller/Pages/Twig/TwigSupraBlockGlobal.php
@@ -54,6 +54,23 @@ class TwigSupraBlockGlobal
 	}
 	
 	/**
+	 * Checks, wheiter block property have raw value (RAW - means value without CMS div wrappers)
+	 * @param string $name
+	 * @return boolean
+	 */
+	public function isEmpty($name)
+	{
+		if (empty($name)) {
+			return;
+		}
+		
+		$propertyValue = $this->blockController->getProperty($name)
+				->getValue();
+		
+		return empty($propertyValue);
+	}
+	
+	/**
 	 * Mark image for preload
 	 * @param string $imageId
 	 * @param integer $width","Task #<I>: Block titles
fast-fix implementation of isEmpty method, to check, does property have non-empty raw value or not (raw means value without cms editable div wrappers)",sitesupra_sitesupra,train,php
23b0670ab399730f7f4109957a91258e260d991d,"diff --git a/test/unit/serializers/cbor.spec.js b/test/unit/serializers/cbor.spec.js
index <HASH>..<HASH> 100644
--- a/test/unit/serializers/cbor.spec.js
+++ b/test/unit/serializers/cbor.spec.js
@@ -62,4 +62,16 @@ describe(""Test CborSerializer"", () => {
 
 		expect(res).toEqual(input);
 	});
+
+	it(""should allow maps to be serialized with useTag259ForMaps option true"", () => {
+		const options = { useTag259ForMaps: true };
+		const optsSerializer = new CborSerializer(options);
+		optsSerializer.init();
+
+		const input = new Map([[""foo"", ""bar""], [""baz"", ""qux""]]);
+		const s = optsSerializer.serialize(input);
+		const res = optsSerializer.deserialize(s);
+
+		expect(res).toEqual(input);
+	});
 });",Add additional cbor test for useTag<I>ForMaps,moleculerjs_moleculer,train,js
dd19951b726017b463a3a24a1e589faf487734b0,"diff --git a/python_modules/libraries/dagster-aws/dagster_aws/ecs/launcher.py b/python_modules/libraries/dagster-aws/dagster_aws/ecs/launcher.py
index <HASH>..<HASH> 100644
--- a/python_modules/libraries/dagster-aws/dagster_aws/ecs/launcher.py
+++ b/python_modules/libraries/dagster-aws/dagster_aws/ecs/launcher.py
@@ -7,7 +7,7 @@ import requests
 from dagster.core.launcher.base import RunLauncher
 from dagster.grpc.types import ExecuteRunArgs
 from dagster.serdes import ConfigurableClass, serialize_dagster_namedtuple
-from dagster.utils.backcompat import experimental_class_warning
+from dagster.utils.backcompat import experimental
 
 
 @dataclass
@@ -19,9 +19,9 @@ class TaskMetadata:
     container_definition: Dict[str, Any]
 
 
+@experimental
 class EcsRunLauncher(RunLauncher, ConfigurableClass):
     def __init__(self, inst_data=None, boto3_client=boto3.client(""ecs"")):
-        experimental_class_warning(""EcsRunLauncher"")
 
         self._inst_data = inst_data
         self.ecs = boto3_client","Decorate EcsRunLauncher as experimental

Summary: Now that <URL>",dagster-io_dagster,train,py
990239887cdec1c8b533aa3c180e5bb4ce379f5a,"diff --git a/setup.py b/setup.py
index <HASH>..<HASH> 100644
--- a/setup.py
+++ b/setup.py
@@ -15,9 +15,15 @@ with open(os.path.join(here, 'CHANGES.rst')) as changes:
 
 NAME = 'aioimaplib'
 
-requires = [
+tests_require = [
+    'nose',
+    'asynctest',
+    'mock',
+    'pytz',
+    'tzlocal',
+    'imaplib2',
+    'docutils'
 ]
-
 setup(
     name=NAME,
     version='0.7.1',
@@ -39,5 +45,6 @@ setup(
     include_package_data=True,
     zip_safe=False,
     test_suite=""nose.collector"",  
-    install_requires=requires,
+    install_requires=[],
+    tests_require=tests_require,
 )",[build] Add tests' requires in setup.py,bamthomas_aioimaplib,train,py
00045fb2a6ae11768cd6275cf78fc5d2717b10e6,"diff --git a/lib/macho/load_commands.rb b/lib/macho/load_commands.rb
index <HASH>..<HASH> 100644
--- a/lib/macho/load_commands.rb
+++ b/lib/macho/load_commands.rb
@@ -89,11 +89,11 @@ module MachO
 		:LC_CODE_SIGNATURE => ""LinkeditDataCommand"",
 		:LC_SEGMENT_SPLIT_INFO => ""LinkeditDataCommand"",
 		:LC_REEXPORT_DYLIB => ""DylibCommand"",
-		:LC_LAZY_LOAD_DYLIB => ""LoadCommand"", # undoc, maybe DylibCommand?
+		:LC_LAZY_LOAD_DYLIB => ""DylibCommand"",
 		:LC_ENCRYPTION_INFO => ""EncryptionInfoCommand"",
 		:LC_DYLD_INFO => ""DyldInfoCommand"",
 		:LC_DYLD_INFO_ONLY => ""DyldInfoCommand"",
-		:LC_LOAD_UPWARD_DYLIB => ""LoadCommand"", # undoc, maybe DylibCommand?
+		:LC_LOAD_UPWARD_DYLIB => ""DylibCommand"",
 		:LC_VERSION_MIN_MACOSX => ""VersionMinCommand"",
 		:LC_VERSION_MIN_IPHONEOS => ""VersionMinCommand"",
 		:LC_FUNCTION_STARTS => ""LinkeditDataCommand"",","map lazy/upward dylib to proper load command

Both `LC_LAZY_LOAD_DYLIB` and `LC_LOAD_UPWARD_DYLIB` are represented as
a `DylibCommand` internally as can be verified by creating test dylibs
with the `-lazy_library` and `-upward_library` linker arguments.",Homebrew_ruby-macho,train,rb
ec7f8c07d9765c8b9292d03f509964ee0835d9bc,"diff --git a/support/cas-server-support-throttle-bucket4j/src/main/java/org/apereo/cas/web/Bucket4jThrottledRequestExecutor.java b/support/cas-server-support-throttle-bucket4j/src/main/java/org/apereo/cas/web/Bucket4jThrottledRequestExecutor.java
index <HASH>..<HASH> 100644
--- a/support/cas-server-support-throttle-bucket4j/src/main/java/org/apereo/cas/web/Bucket4jThrottledRequestExecutor.java
+++ b/support/cas-server-support-throttle-bucket4j/src/main/java/org/apereo/cas/web/Bucket4jThrottledRequestExecutor.java
@@ -53,8 +53,9 @@ public class Bucket4jThrottledRequestExecutor implements ThrottledRequestExecuto
             if (this.blocking) {
                 LOGGER.trace(""Attempting to consume a token for the authentication attempt"");
                 result = !this.bucket.tryConsume(1, MAX_WAIT_NANOS, BlockingStrategy.PARKING);
+            } else {
+                result = !this.bucket.tryConsume(1);
             }
-            result = !this.bucket.tryConsume(1);
         } catch (final InterruptedException e) {
             LOGGER.error(e.getMessage(), e);
             Thread.currentThread().interrupt();",Consume bucket once when blocking property is enabled. (#<I>),apereo_cas,train,java
